Date,District,Cases
2020-03-09,Mitte,1.2857142857142858
2020-03-10,Mitte,1.1428571428571428
2020-03-11,Mitte,2.4285714285714284
2020-03-12,Mitte,2.857142857142857
2020-03-13,Mitte,3.7142857142857144
2020-03-14,Mitte,4.714285714285714
2020-03-15,Mitte,5.714285714285714
2020-03-16,Mitte,6.285714285714286
2020-03-17,Mitte,8.857142857142858
2020-03-18,Mitte,10.857142857142858
2020-03-19,Mitte,13.428571428571429
2020-03-20,Mitte,14.857142857142858
2020-03-21,Mitte,17.428571428571427
2020-03-22,Mitte,20.428571428571427
2020-03-23,Mitte,22.714285714285715
2020-03-24,Mitte,23.285714285714285
2020-03-25,Mitte,23.714285714285715
2020-03-26,Mitte,27.571428571428573
2020-03-27,Mitte,31.714285714285715
2020-03-28,Mitte,31.857142857142858
2020-03-29,Mitte,30.0
2020-03-30,Mitte,29.285714285714285
2020-03-31,Mitte,32.42857142857143
2020-04-01,Mitte,31.428571428571427
2020-04-02,Mitte,29.142857142857142
2020-04-03,Mitte,23.857142857142858
2020-04-04,Mitte,22.714285714285715
2020-04-05,Mitte,21.142857142857142
2020-04-06,Mitte,24.142857142857142
2020-04-07,Mitte,22.142857142857142
2020-04-08,Mitte,21.285714285714285
2020-04-09,Mitte,20.142857142857142
2020-04-10,Mitte,22.142857142857142
2020-04-11,Mitte,24.285714285714285
2020-04-12,Mitte,24.857142857142858
2020-04-13,Mitte,21.714285714285715
2020-04-14,Mitte,18.857142857142858
2020-04-15,Mitte,19.285714285714285
2020-04-16,Mitte,17.0
2020-04-17,Mitte,16.142857142857142
2020-04-18,Mitte,12.0
2020-04-19,Mitte,11.428571428571429
2020-04-20,Mitte,10.142857142857142
2020-04-21,Mitte,9.0
2020-04-22,Mitte,8.142857142857142
2020-04-23,Mitte,7.428571428571429
2020-04-24,Mitte,5.571428571428571
2020-04-25,Mitte,6.285714285714286
2020-04-26,Mitte,5.857142857142857
2020-04-27,Mitte,7.428571428571429
2020-04-28,Mitte,7.857142857142857
2020-04-29,Mitte,8.142857142857142
2020-04-30,Mitte,7.857142857142857
2020-05-01,Mitte,7.857142857142857
2020-05-02,Mitte,7.0
2020-05-03,Mitte,6.714285714285714
2020-05-04,Mitte,5.285714285714286
2020-05-05,Mitte,5.857142857142857
2020-05-06,Mitte,5.285714285714286
2020-05-07,Mitte,5.142857142857143
2020-05-08,Mitte,4.571428571428571
2020-05-09,Mitte,4.428571428571429
2020-05-10,Mitte,4.428571428571429
2020-05-11,Mitte,3.7142857142857144
2020-05-12,Mitte,3.0
2020-05-13,Mitte,2.2857142857142856
2020-05-14,Mitte,2.5714285714285716
2020-05-15,Mitte,3.0
2020-05-16,Mitte,2.7142857142857144
2020-05-17,Mitte,2.7142857142857144
2020-05-18,Mitte,3.0
2020-05-19,Mitte,4.0
2020-05-20,Mitte,4.0
2020-05-21,Mitte,3.142857142857143
2020-05-22,Mitte,3.0
2020-05-23,Mitte,3.142857142857143
2020-05-24,Mitte,3.142857142857143
2020-05-25,Mitte,3.5714285714285716
2020-05-26,Mitte,1.7142857142857142
2020-05-27,Mitte,2.142857142857143
2020-05-28,Mitte,2.7142857142857144
